Рут ок, едем.
Листинг mixer controls:
Mixer name: 'mt6895-mt6368'
Number of controls: 774
ctl     type    num     name                                     value

0       INT     1       Audio IRQ1 CNT                           0
1       INT     1       Audio IRQ2 CNT                           0
2       INT     1       deep_buffer_irq_cnt                      0
3       INT     1       voip_rx_irq_cnt                          0
4       BOOL    1       deep_buffer_scenario                     Off
5       BOOL    1       record_xrun_assert                       Off
6       BOOL    1       echo_ref_xrun_assert                     Off
7       BOOL    1       fast_play_scenario                       Off
8       BOOL    1       primary_play_scenario                    Off
9       BOOL    1       voip_rx_scenario                         Off
10      INT     1       sram_size                                73728
11      INT     1       vow_barge_in_irq_id                      1512      BOOL    1       adsp_primary_sharemem_scenario           Off
13      BOOL    1       adsp_deepbuffer_sharemem_scenario        Off
14      BOOL    1       adsp_voip_sharemem_scenario              Off
15      BOOL    1       adsp_playback_sharemem_scenario          Off
16      BOOL    1       adsp_call_final_sharemem_scenario        Off
17      BOOL    1       adsp_ktv_sharemem_scenario               Off
18      BOOL    1       adsp_fm_sharemem_scenario                Off
19      BOOL    1       adsp_offload_sharemem_scenario           Off
20      BOOL    1       adsp_capture_sharemem_scenario           Off
21      BOOL    1       adsp_ref_sharemem_scenario               Off
22      BOOL    1       adsp_fast_sharemem_scenario              Off
23      BOOL    1       adsp_spatializer_sharemem_scenario       Off
24      BOOL    1       mmap_play_scenario                       Off
25      BOOL    1       mmap_record_scenario                     Off
26      INT     1       aaudio_ion                               0
27      INT     1       aaudio_dl_mmap_fd                        0
28      INT     1       aaudio_ul_mmap_fd                        0
29      INT     1       HW Gain 1                                524288
30      INT     1       HW Gain 2                                524288
31      ENUM    1       I2S0_HD_Mux                              Normal
32      ENUM    1       I2S1_HD_Mux                              Normal
33      ENUM    1       I2S2_HD_Mux                              Normal
34      ENUM    1       I2S3_HD_Mux                              Normal
35      ENUM    1       I2S5_HD_Mux                              Normal
36      INT     1       Sidetone_Gain                            0
37      INT     1       Sidetone_Positive_Gain_dB                0
38      INT     1       ADDA_DL_GAIN                             0
39      ENUM    1       MTKAIF_DMIC                              Off
40      ENUM    1       MTKAIF_ADDA6_ONLY                        Off
41      BOOL    1       UL1_CH1 ADDA_UL_CH1                      Off
42      BOOL    1       UL1_CH1 ADDA_UL_CH2                      Off
43      BOOL    1       UL1_CH1 ADDA_UL_CH3                      Off
44      BOOL    1       UL1_CH2 ADDA_UL_CH1                      Off
45      BOOL    1       UL1_CH2 ADDA_UL_CH2                      Off
46      BOOL    1       UL1_CH2 ADDA_UL_CH3                      Off
47      BOOL    1       UL1_CH2 ADDA_UL_CH4                      Off
48      BOOL    1       UL1_CH3 ADDA_UL_CH1                      Off
49      BOOL    1       UL1_CH3 ADDA_UL_CH2                      Off
50      BOOL    1       UL1_CH3 ADDA_UL_CH3                      Off
51      BOOL    1       UL1_CH4 ADDA_UL_CH1                      Off
52      BOOL    1       UL1_CH4 ADDA_UL_CH2                      Off
53      BOOL    1       UL1_CH4 ADDA_UL_CH3                      Off
54      BOOL    1       UL1_CH4 ADDA_UL_CH4                      Off
55      BOOL    1       UL2_CH1 I2S0_CH1                         Off
56      BOOL    1       UL2_CH1 DL1_CH1                          Off
57      BOOL    1       UL2_CH1 DL12_CH1                         Off
58      BOOL    1       UL2_CH1 DL2_CH1                          Off
59      BOOL    1       UL2_CH1 DL3_CH1                          Off
60      BOOL    1       UL2_CH1 DL4_CH1                          Off
61      BOOL    1       UL2_CH1 DL5_CH1                          Off
62      BOOL    1       UL2_CH1 DL6_CH1                          Off
63      BOOL    1       UL2_CH1 DL7_CH1                          Off
64      BOOL    1       UL2_CH1 PCM_1_CAP_CH1                    Off
65      BOOL    1       UL2_CH1 PCM_2_CAP_CH1                    Off
66      BOOL    1       UL2_CH1 I2S2_CH1                         Off
67      BOOL    1       UL2_CH1 CONNSYS_I2S_CH1                  Off
68      BOOL    1       UL2_CH1 SRC_1_OUT_CH1                    Off
69      BOOL    1       UL2_CH2 I2S0_CH2                         Off
70      BOOL    1       UL2_CH2 DL1_CH2                          Off
71      BOOL    1       UL2_CH2 DL12_CH2                         Off
72      BOOL    1       UL2_CH2 DL2_CH2                          Off
73      BOOL    1       UL2_CH2 DL3_CH2                          Off
74      BOOL    1       UL2_CH2 DL4_CH2                          Off
75      BOOL    1       UL2_CH2 DL5_CH2                          Off
76      BOOL    1       UL2_CH2 DL6_CH2                          Off
77      BOOL    1       UL2_CH2 DL7_CH2                          Off
78      BOOL    1       UL2_CH2 PCM_1_CAP_CH1                    Off
79      BOOL    1       UL2_CH2 PCM_2_CAP_CH1                    Off
80      BOOL    1       UL2_CH2 I2S2_CH2                         Off
81      BOOL    1       UL2_CH2 CONNSYS_I2S_CH2                  Off
82      BOOL    1       UL2_CH2 SRC_1_OUT_CH2                    Off
83      BOOL    1       UL3_CH1 CONNSYS_I2S_CH1                  Off
84      BOOL    1       UL3_CH2 CONNSYS_I2S_CH2                  Off
85      BOOL    1       UL4_CH1 ADDA_UL_CH1                      Off
86      BOOL    1       UL4_CH1 I2S0_CH1                         Off
87      BOOL    1       UL4_CH1 I2S2_CH1                         Off
88      BOOL    1       UL4_CH2 ADDA_UL_CH2                      Off
89      BOOL    1       UL4_CH2 I2S0_CH2                         Off
90      BOOL    1       UL4_CH2 I2S2_CH2                         Off
91      ENUM    1       UL4_TINYCONN_CH1_MUX                     NONE
92      ENUM    1       UL4_TINYCONN_CH2_MUX                     NONE
93      BOOL    1       UL5_CH1 ADDA_UL_CH1                      Off
94      BOOL    1       UL5_CH2 ADDA_UL_CH2                      Off
95      BOOL    1       UL6_CH1 ADDA_UL_CH1                      Off
96      BOOL    1       UL6_CH1 DL1_CH1                          Off
97      BOOL    1       UL6_CH1 DL12_CH1                         Off
98      BOOL    1       UL6_CH1 DL6_CH1                          Off
99      BOOL    1       UL6_CH1 DL2_CH1                          Off
100     BOOL    1       UL6_CH1 DL3_CH1                          Off
101     BOOL    1       UL6_CH1 DL4_CH1                          Off
102     BOOL    1       UL6_CH1 PCM_1_CAP_CH1                    Off
103     BOOL    1       UL6_CH1 PCM_2_CAP_CH1                    Off
104     BOOL    1       UL6_CH1 GAIN1_OUT_CH1                    Off
105     BOOL    1       UL6_CH2 ADDA_UL_CH2                      Off
106     BOOL    1       UL6_CH2 DL1_CH2                          Off
107     BOOL    1       UL6_CH2 DL12_CH2                         Off
108     BOOL    1       UL6_CH2 DL6_CH2                          Off
109     BOOL    1       UL6_CH2 DL2_CH2                          Off
110     BOOL    1       UL6_CH2 DL3_CH2                          Off
111     BOOL    1       UL6_CH2 DL4_CH2                          Off
112     BOOL    1       UL6_CH2 PCM_1_CAP_CH1                    Off
